id,경도,위도
0422,126.8453872,37.30880482
0010,126.8427133,37.31180503
0266,126.8454766,37.30991704
0368,126.8467765,37.30909215
0400,126.8459391,37.30581752
0029,126.848489,37.29119422
0265,126.8294822,37.30445621
0365,126.8250321,37.30798071
0059,126.8310403,37.3096911
0316,126.8313151,37.31241402
0013,126.8204143,37.31300784
0078,126.8275902,37.31535559
0340,126.8180723,37.31586816
0039,126.8190914,37.31550791
0148,126.8202419,37.31475839
0211,126.8169791,37.31492463
0256,126.8314528,37.31433312
0129,126.8404645,37.31222482
0040,126.821475,37.3102019
0263,126.8588585,37.30505826
0380,126.8577732,37.29043768
0349,126.8520396,37.29603506
0426,126.8473964,37.30511065
0168,126.8513862,37.30682392
0065,126.8476694,37.30866996
0212,126.8443017,37.31334164
0100,126.8459264,37.30543954
0194,126.8321869,37.30430543
0112,126.8265682,37.30461859
0298,126.83253,37.30836072
0175,126.8413639,37.30914459
0225,126.8252213,37.3100044
0342,126.8201899,37.31024915
0467,126.8330284,37.31425246
0343,126.8363547,37.31214146
0022,126.836439,37.31316097
0073,126.8217843,37.31394889
0384,126.8170416,37.31562455
0055,126.8189915,37.31409974
0289,126.8277782,37.31139177
0243,126.8449653,37.31470108
0248,126.8434356,37.31626668
0101,126.8413922,37.32057168
0300,126.8266026,37.28575712
0413,126.8639075,37.288638
0030,126.8198651,37.29522237
0255,126.8487053,37.29912493
0350,126.841993,37.30184794
0115,126.8580484,37.31301293
0438,126.8498253,37.31415559
0421,126.8227907,37.29026258
0449,126.86454,37.31097076
0295,126.8333518,37.31779171
0472,126.8323421,37.30613996
0279,126.8169242,37.30790905
0290,126.823382,37.3138683
0186,126.8164292,37.30792543
0338,126.8165167,37.30900864
0213,126.8386147,37.31418318
0058,126.845012,37.3151802
0269,126.8637761,37.2854108
0308,126.8661024,37.28475143
0151,126.8463054,37.31613531
0052,126.8524094,37.28481184
0474,126.8458883,37.30339528
0037,126.8499192,37.30454831
0455,126.857592,37.30637618
0024,126.8457095,37.30822654
0268,126.8478273,37.31039268
0383,126.8491638,37.30632581
0121,126.8500387,37.30816727
0155,126.8382648,37.3024512
0381,126.859688,37.28555327
0406,126.8268099,37.30728821
0242,126.8200226,37.30824059
0096,126.8334579,37.31917425
0201,126.8202153,37.31437741
0139,126.8243535,37.31462471
0132,126.818904,37.31340815
0207,126.8168791,37.31384975
0345,126.8665297,37.3145444
0313,126.8404502,37.3119198
0064,126.8390116,37.31199768
0366,126.8406396,37.30175129
0234,126.8272881,37.29429156
0404,126.8481185,37.29984115
0375,126.8631862,37.30086053
0293,126.8390002,37.30286111
0482,126.8632759,37.30170509
0127,126.845429,37.30467059
0324,126.8416251,37.30558962
0387,126.8547741,37.30670331
0410,126.8437398,37.30698071
0170,126.8664915,37.30761475
0137,126.8656026,37.30849687
0221,126.8525756,37.30903406
0412,126.8660128,37.31090074
0419,126.8446683,37.31170734
0021,126.8454016,37.3091588
0373,126.8454391,37.30953375
0241,126.8459766,37.30618414
0161,126.8382148,37.30132633
0164,126.8380273,37.30285115
0229,126.8167778,37.30621843
0417,126.8361298,37.30942181
0446,126.8326354,37.30960674
0288,126.8327879,37.31140994
0125,126.8234407,37.31469186
0036,126.8280281,37.31451641
0326,126.8290905,37.31445809
0429,126.8377523,37.3142165
0153,126.8495869,37.29803154
0432,126.8418461,37.31400675
0355,126.8663414,37.29016275
0111,126.8564544,37.29066543
0238,126.8570812,37.29287975
0425,126.862918,37.29355046
0053,126.8367863,37.30181324
0292,126.8456417,37.30124099
0272,126.859776,37.30181328
0258,126.8562997,37.3019929
0090,126.8521779,37.30325443
0321,126.8474464,37.30571478
0189,126.8481426,37.30790028
0054,126.8441634,37.30887712
0088,126.8599298,37.31067031
0470,126.8463784,37.31445048
0359,126.8461765,37.31201681
0478,126.8479764,37.3119085
