id,x,y,NODE_NAME
274,126.8303771,37.2969943,디자인대학
284,126.833795,37.29675587,예체능대학
456,126.8310342,37.29566171,대운동장뒷편
389,126.8327705,37.29338005,카카오데이터센터
162,126.8354869,37.29408666,테니스장
362,126.8355246,37.29747912,학술정보관
158,126.8389034,37.29709181,노천극장
114,126.8396787,37.2958224,라이언스홀
131,126.842124,37.29683035,LG이노텍
160,126.8371996,37.29480085,창업보육센터
140,126.8360413,37.2932765,기숙사
7,126.8371399,37.29373304,기숙사오르막
31,126.8346834,37.295356,농구장
173,126.8363905,37.29606794,4공학관
84,126.8524768,37.31455805,additional node
481,126.8298133,37.31443752,additional node
415,126.8306595,37.31438468,additional node
2,126.8297049,37.31250015,additional node
391,126.8305171,37.31248329,additional node
447,126.8304065,37.31151903,additional node
182,126.8295835,37.31131061,additional node
82,126.8303089,37.30977088,additional node
116,126.8294289,37.30982368,additional node
271,126.8301764,37.30848221,additional node
306,126.8293416,37.30850804,additional node
285,126.8300879,37.30771621,additional node
171,126.8292699,37.30778711,additional node
79,126.8290835,37.30545316,additional node
327,126.8298788,37.30541827,additional node
452,126.8544279,37.30312183,additional node
204,126.838961,37.30447137,additional node
108,126.8323827,37.30295751,additional node
44,126.8294849,37.29752914,additional node
9,126.8166431,37.30030315,additional node
177,126.8160163,37.2983199,additional node
352,126.8182722,37.29359294,additional node
18,126.8297183,37.28402293,additional node
163,126.8339929,37.28365957,additional node
431,126.835801,37.28191408,additional node
183,126.8399051,37.28211793,additional node
216,126.8434233,37.28210462,additional node
247,126.84728,37.28200153,additional node
254,126.8539559,37.28181173,additional node
20,126.8553092,37.2817413,additional node
341,126.8597759,37.28712588,additional node
388,126.8606749,37.28881639,additional node
106,126.8668365,37.30081403,additional node
423,126.8668746,37.30161149,additional node
222,126.8516571,37.28822651,additional node
60,126.8443002,37.29025341,additional node
12,126.843283,37.29131529,additional node
307,126.8420578,37.2947376,additional node
459,126.844407,37.29859715,additional node
185,126.8572855,37.31150719,additional node
311,126.8628227,37.31236972,additional node
244,126.8318786,37.29251604,additional node
319,126.8281471,37.29186193,additional node
56,126.8263166,37.2983287,additional node
193,126.8291488,37.30276592,additional node
202,126.8588923,37.30433012,additional node
